coin_name,symbol,price_usd,market_cap,volume_24h,volume_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,pct_change_30d,pct_change_60d,pct_change_90d,coin_type,platform,category,primary_signal,signal_strength,overall_score,composite_score,change_momentum,momentum_acceleration,risk_adjusted_momentum,price_volatility,volatility_risk,liquidity_risk,concentration_risk,nvt_score,mvrv_score,scarcity_score,efficiency_score,momentum_consistency,inv_momentum_score,inv_value_score,inv_risk_score,inv_activity_score,inv_network_score,date_added,last_updated,max_supply,circulating_supply,total_supply,annual_inflation,stock_to_flow,price_tier,momentum_category,risk_level,days_since_added,momentum_score,risk_score,investment_score,predicted_signal,potential_return
Matr1x,MAX,0.03530938174581414,4608580.505463662,8363.37633997,11.059,-23.87336715,185.41589326,8264.62797012,60.18384996,2379.92533775,905.86651208,crypto,Ethereum,Small,STRONG_BUY,100,27663.61,27663.61,1.08,-880.6916831651428,1.08,3858.85,0.03,18.15,70,92.45,100,6.02,18.15,99.1,27632.52,23.87,3.89,2.72,0.6,2024-08-02 05:10:43+00:00,2026-02-11 04:48:34.568000+00:00,800000000.0,130520000.0,800000000.0,16.31,0.22,Low,Neutral,Low Risk,557,-28.54,38.55,45.71,HOLD,0.79
The Game Company,GMRT,0.0187662099366817,6080615.885884167,10448.49384311,-16.1382,27.90804583,5601.68495723,4004.41399702,1543.98858388,1815.52681032,914.23425657,crypto,Base,Small,STRONG_BUY,100,19978.37,19978.37,1.57,310.1957461822857,1.57,2343.57,0.04,17.18,70,92.03,100,6.02,17.18,38.74,19947.55,23.8,3.84,2.58,0.6,2025-02-04 09:10:28+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,324019389.4452062,1000000000.0,32.4,0.06,Low,Bullish,Low Risk,371,81.42,38.31,73.04,STRONG_BUY,2.21
Opus Genesis,OPUS,0.0029834632913944958,2983275.950784039,2693.34330013,-79.9378,0.00416922,-0.7032225,7012.88823851,-64.56409584,-32.05012771,-57.85425254,crypto,Solana,Small,STRONG_BUY,100,18974.49,18974.49,1.06,-766.0265594754762,1.06,3306.07,0.03,9.03,70,84.83,100,6.02,9.03,98.78,18946.46,22.72,3.34,1.35,0.6,2025-01-06 15:36:33+00:00,2026-02-11 04:48:34.568000+00:00,0.0,999937207.0,999937207.0,0.0,1.0,Low,Neutral,Low Risk,400,-17.54,36.27,46.98,HOLD,0.59
NULS,NULS,0.0035982209878309573,411065.77509742696,0.0,0.0,0.0102834,6128.04076714,277.0719702,-23.30669298,-15.21652686,-6.07323316,crypto,Native,Small,BUY,100,10709.21,10709.21,0.7,845.8653073831429,0.7,2825.74,0.04,0.0,70,0.0,100,6.02,0.0,0.0,10695.81,10.0,2.8,0.0,0.6,2017-10-25 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,210000000.0,114241392.20121147,133444356.39010653,54.4,0.01,Low,Bearish,Low Risk,3031,107.42,34.01,76.75,STRONG_BUY,-1.5
XenBitcoin,XBTC,69329.83220218716,0.0,707697.55652814,-32.5037,-0.00378264,2527.71574271,1865.15011457,49460.52985948,-23.28337406,202198.78642696,crypto,PulseChain,Small,STRONG_BUY,100,9211.17,9211.17,1.58,-1491.8604255722378,1.58,1070.16,0.09,100.0,70,100.0,100,6.02,100.0,41.16,9161.76,25.0,8.81,15.0,0.6,2023-06-02 08:11:04+00:00,2026-02-11 04:48:34.568000+00:00,21000000.0,0.0,10500000.0,0.0,1.0,High,Bullish,Low Risk,984,-97.87,59.03,39.31,HOLD,2.39
Groestlcoin,GRS,0.09164199095651,8194803.598409697,0.14571077,0.0,-0.01731261,1247.25776609,1247.25776609,-34.28809265,-42.8599256,-56.63518527,crypto,Native,Small,BUY,100,5433.92,5433.92,1.7,42.71819529133333,1.7,587.97,0.17,0.0,70,0.0,100,6.02,0.0,62.86,5420.5,10.0,2.82,0.0,0.6,2014-04-11 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,105000000.0,89421928.88736624,89421928.88736624,85.16,0.11,Low,Bullish,Low Risk,4324,64.29,25.82,53.5,BUY,4.4
PEPE,TRUMP,0.00011833272908912778,0.0,199976.90056297,-4.1759,30.67506044,1047.60138355,842.06287915,322.35362445,72037.14313308,52867.3585041,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,4085.38,4085.38,1.69,46.68628530904763,1.69,439.03,0.23,100.0,70,100.0,100,6.02,100.0,46.84,4035.96,25.0,8.82,15.0,0.6,2024-06-18 07:05:31+00:00,2026-02-11 04:48:34.568000+00:00,21000000000000.0,0.0,21000000000000.0,0.0,1.0,Micro,Bullish,Low Risk,602,59.7,47.86,65.0,BUY,3.94
Robinhood,HOOD,0.00035916384655849834,0.0,22598.75701677,-4.5933,3175.02716165,-16.57351013,-99.63756878,-43.50726721,-94.8325174,-83.28158936,crypto,Base,Small,BUY,100,3199.07,3199.07,0.38,9.99528404052381,0.38,1524.49,0.07,100.0,70,100.0,100,6.02,100.0,0.0,3149.66,25.0,8.81,15.0,0.6,2025-07-09 07:28:01+00:00,2026-02-11 04:48:34.568000+00:00,1000000000000.0,0.0,1000000000000.0,0.0,1.0,Micro,Bearish,Low Risk,216,17.97,59.02,50.24,HOLD,-3.1
I love puppies,PUPPIES,2.09413042320877e-10,0.0,283093.03473509,15.872,-1.73405331,368.68103669,697.37096103,883.98010911,568.84090146,877.97977416,meme,Ethereum,Small,STRONG_BUY,100,3109.69,3109.69,1.61,-53.17600841314285,1.61,285.58,0.35,100.0,70,100.0,100,6.02,100.0,92.03,3060.25,25.0,8.83,15.0,0.6,2025-09-30 09:20:02+00:00,2026-02-11 04:48:34.568000+00:00,4.2069e+17,0.0,4.2069e+17,0.0,1.0,Micro,Bullish,Low Risk,133,61.81,44.83,63.06,BUY,24.07
Ondo DeFAI,ONDOAI,0.000159920932792487,159920.932792487,161.59978274,0.0,0.0045427,700.65931556,700.69351044,399.7077892,399.7077892,399.7077892,crypto,Ethereum,Small,STRONG_BUY,100,3087.71,3087.71,1.7,10.027972391809527,1.7,330.3,0.3,10.1,70,86.44,100,6.02,10.1,62.87,3059.19,22.97,3.44,1.52,0.6,2025-01-24 07:39:14+00:00,2026-02-11 04:48:34.568000+00:00,0.0,1000000000.0,1000000000.0,0.0,1.0,Micro,Bullish,Low Risk,382,61.03,23.24,48.05,HOLD,14.94
PEPE AI (pepeai.one),PEPE,0.0005324116617074271,0.0,250282.50780858,6.3467,4.30811039,798.73626962,404.02292034,-50.57639148,554.88843177,-50.76900716,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,2998.15,2998.15,1.36,71.5409317197143,1.36,324.33,0.31,100.0,70,100.0,100,6.02,100.0,15.91,2948.71,25.0,8.83,15.0,0.6,2025-04-17 06:34:41+00:00,2026-02-11 04:48:34.568000+00:00,30000000000.0,0.0,30000000000.0,0.0,1.0,Micro,Bullish,Low Risk,299,46.86,45.6,58.87,BUY,2.01
TRUMP MAGA,MAGA,0.0005081034996726933,0.0,142529.89103156,14.6753,34.73550424,306.1437081,616.81816406,64.89307115,-24.12278465,163.72982414,meme,Base,Small,STRONG_BUY,100,2769.39,2769.39,1.71,-25.984562040142844,1.71,237.81,0.42,100.0,70,100.0,100,6.02,100.0,94.65,2719.94,25.0,8.84,15.0,0.6,2025-09-22 06:30:14+00:00,2026-02-11 04:48:34.568000+00:00,28000000000.0,0.0,28000000000.0,0.0,1.0,Micro,Bullish,Low Risk,141,67.14,43.9,63.51,BUY,35.24
Wolfies,PACK,0.00019334134373801565,0.0,61477.43266731,-22.7441,-1.03551034,-2.13352157,909.24145927,16.55142945,-31.11123767,-51.0649446,crypto,Cronos,Small,STRONG_BUY,100,2512.48,2512.48,1.06,-100.44009150695236,1.06,429.37,0.23,100.0,70,100.0,100,6.02,100.0,98.77,2463.06,25.0,8.82,15.0,0.6,2025-05-26 06:39:39+00:00,2026-02-11 04:48:34.568000+00:00,10000000000.0,0.0,10000000000.0,0.0,1.0,Micro,Neutral,Low Risk,260,49.02,47.67,57.64,BUY,0.84
Franklin,FRANKLIN,1.00453856324041e-10,0.0,56918.85912436,-0.7462,-17.70732025,100.95356836,721.54398895,1091.11146665,105805.51200323,163375.16855285,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,2166.58,2166.58,1.2,-100.97469029333334,1.2,324.16,0.31,100.0,70,100.0,100,6.02,100.0,100.0,2117.14,25.0,8.83,15.0,0.6,2025-12-09 20:50:02+00:00,2026-02-11 04:48:34.568000+00:00,4.2e+17,0.0,4.2e+17,0.0,1.0,Micro,Bullish,Low Risk,63,51.9,45.59,57.64,BUY,7.03
FARTCOIN (fartcoin.one),FARTCOIN,0.0020278322882880447,0.0,759673.31840868,0.5187,122.48391391,625.07545417,181.79177828,882.39637251,253.63420564,175.17351019,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,2076.78,2076.78,1.35,39.9727529385238,1.35,224.26,0.44,100.0,70,100.0,100,6.02,100.0,0.0,2027.33,25.0,8.84,15.0,0.6,2025-04-24 07:32:14+00:00,2026-02-11 04:48:34.568000+00:00,5000000000.0,0.0,5000000000.0,0.0,1.0,Low,Bullish,Low Risk,292,38.75,43.64,54.37,HOLD,9.65
