coin_name,symbol,price_usd,market_cap,volume_24h,volume_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,pct_change_30d,pct_change_60d,pct_change_90d,coin_type,platform,category,primary_signal,signal_strength,overall_score,composite_score,change_momentum,momentum_acceleration,risk_adjusted_momentum,price_volatility,volatility_risk,liquidity_risk,concentration_risk,nvt_score,mvrv_score,scarcity_score,efficiency_score,momentum_consistency,inv_momentum_score,inv_value_score,inv_risk_score,inv_activity_score,inv_network_score,date_added,last_updated,max_supply,circulating_supply,total_supply,annual_inflation,stock_to_flow,price_tier,momentum_category,risk_level,days_since_added,momentum_score,risk_score,investment_score,predicted_signal,potential_return
Ani Grok Companion (anicompanion.org),ANI,5.187761935550765e-05,0.0,341788.36227674,56.7554,-8.05328736,252.16127891,255.75382642,-87.82936918,-68.29604384,-93.09371634,meme,Base,Small,STRONG_BUY,100,1413.36,1413.36,1.63,10.939552113809523,1.63,123.52,0.8,100.0,70,100.0,100,6.02,100.0,63.78,1363.88,25.0,8.88,15.0,0.6,2025-07-30 06:50:13+00:00,2026-02-11 04:48:34.568000+00:00,21000000000.0,0.0,21000000000.0,0.0,1.0,Micro,Bullish,Low Risk,195,60.11,41.75,58.01,BUY,30.25
[Fake] Test (testtoken.me),TST,8.475974938221311e-05,0.0,49261.7090097,-23.0032,44.88025782,685.28183225,60.45221435,60.94387318,48.22434125,317.26704501,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,1393.01,1393.01,0.82,89.24498535804761,0.82,298.29,0.33,100.0,70,100.0,100,6.02,100.0,0.0,1343.58,25.0,8.83,15.0,0.6,2025-02-18 09:08:24+00:00,2026-02-11 04:48:34.568000+00:00,0.0,0.0,100000000000.0,10000000000000.0,0.0,Micro,Neutral,Low Risk,357,33.96,45.08,50.91,HOLD,-3.63
Crypto-Altcoins.com,ALTS,2.1086994021529206e-05,28050.774166566825,2612.19384442,0.0,-6.87272531,74.95390775,421.15446264,124.82435934,217.95917358,-46.15235619,crypto,Solana,Small,STRONG_BUY,100,1326.53,1326.53,1.25,-39.57955201714286,1.25,185.52,0.54,100.0,70,99.85,100,6.02,100.0,99.97,1277.1,24.98,8.85,15.0,0.6,2019-12-10 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,1534000000.0,1330240533.0,1534000000.0,86.72,0.0,Micro,Bullish,Low Risk,2255,58.95,42.9,57.28,BUY,15.72
Grayscale,GRAYSCALE,1.3403424878108987e-06,0.0,256528.54102973,-16.3299,-10.09646797,312.68084531,238.11514313,181.64998308,121.87105317,-54.83755758,crypto,Base,Small,STRONG_BUY,100,1217.98,1217.98,1.53,12.534415170238095,1.53,137.98,0.72,100.0,70,100.0,100,6.02,100.0,44.16,1168.51,25.0,8.87,15.0,0.6,2025-07-14 10:23:22+00:00,2026-02-11 04:48:34.568000+00:00,1000000000000.0,0.0,1000000000000.0,0.0,1.0,Micro,Bullish,Low Risk,211,52.55,42.01,55.49,BUY,16.95
CeluvPlay,CELB,0.0007248512509290707,173058.23615931562,13750.63152396,17.3177,6.00042798,50.3241346,310.11907457,4216.49683612,274.54843298,529.30724745,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,1207.62,1207.62,1.28,-167.3261549045238,1.28,134.14,0.74,100.0,70,99.83,100,6.02,100.0,99.98,1158.17,24.97,8.87,15.0,0.6,2025-08-27 05:32:34+00:00,2026-02-11 04:48:34.568000+00:00,5000000000.0,238750000.0,5000000000.0,4.78,0.02,Micro,Bullish,Low Risk,167,46.73,41.94,54.01,BUY,20.48
ClubCoin,CLUB,0.005996199063501587,0.0,52355.67062266,0.0,-0.00147901,234.21821028,234.21821028,20.48187442,20.48187442,20.48187442,crypto,Native,Small,STRONG_BUY,100,1093.68,1093.68,1.7,7.124544528666666,1.7,110.41,0.9,100.0,70,100.0,100,6.02,100.0,62.86,1044.19,25.0,8.89,15.0,0.6,2015-12-21 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,160000000.0,0.0,103748265.908557,0.0,1.0,Low,Bullish,Low Risk,3705,60.73,41.52,57.24,BUY,34.29
Furfication,FUR,0.0005776749081808367,0.0,231182.0860577,-23.5689,21.01001817,262.0548477,199.28086265,2892.02926497,421.16720105,111.58912479,meme,Base,Small,STRONG_BUY,100,1068.1,1068.1,1.79,-80.79056792733334,1.79,102.1,0.97,100.0,70,100.0,100,6.02,100.0,41.33,1018.6,25.0,8.9,15.0,0.6,2025-04-24 07:26:26+00:00,2026-02-11 04:48:34.568000+00:00,10000000000.0,0.0,10000000000.0,0.0,1.0,Micro,Bullish,Low Risk,292,47.13,41.38,53.78,BUY,25.98
Don't Buy Inu,DBI,0.00013888060635656942,0.0,9522.14444842,0.0,-1.19470287,200.45465113,236.95028389,122.35410346,70.2509731,54.81107631,meme,Ethereum,Small,STRONG_BUY,100,1045.08,1045.08,1.7,-1.3937891418571433,1.7,104.73,0.95,100.0,70,100.0,100,6.02,100.0,73.29,995.58,25.0,8.89,15.0,0.6,2022-11-02 05:04:29+00:00,2026-02-11 04:48:34.568000+00:00,2000000000.0,0.0,1448126999.8,0.0,1.0,Micro,Bullish,Low Risk,1196,63.01,41.43,57.67,BUY,40.56
MSTR,MSTR,0.874090110753321,0.0,211120.61682841,-37.0318,28.46189712,225.40823686,208.62922546,-70.18381487,-45.8711737,487.85130021,crypto,Base,Small,STRONG_BUY,100,1044.5,1044.5,1.99,11.690769639571428,1.99,89.15,1.11,100.0,70,100.0,100,6.02,100.0,56.7,994.99,25.0,8.91,15.0,0.6,2024-11-27 06:40:16+00:00,2026-02-11 04:48:34.568000+00:00,10000000000.0,0.0,10000000000.0,0.0,1.0,Low,Bullish,Medium Risk,440,64.66,41.17,58.12,BUY,46.12
BlackRock,IBIT,0.048494918534569983,0.0,88794.473887,-28.3599,-0.61799915,291.25282377,180.97361382,495.90183569,912.90263816,533.9492214,crypto,Base,Small,STRONG_BUY,100,1038.97,1038.97,1.48,5.2565654543333356,1.48,120.34,0.82,100.0,70,100.0,100,6.02,100.0,29.2,989.49,25.0,8.88,15.0,0.6,2025-07-14 10:27:38+00:00,2026-02-11 04:48:34.568000+00:00,155000000.0,0.0,155000000.0,0.0,1.0,Low,Bullish,Low Risk,211,46.42,41.69,53.47,BUY,10.64
Tonomy,TONO,1.8511703902883024e-06,0.0,148225.30392876,7.9716,52.37766357,215.17606441,114.98034027,-81.42928316,-93.50371436,-97.03839776,crypto,Base,Small,STRONG_BUY,100,959.77,959.77,1.98,20.860662324809525,1.98,67.05,1.47,100.0,70,100.0,100,6.02,100.0,2.36,910.22,25.0,8.95,15.0,0.6,2025-12-11 14:00:01+00:00,2026-02-11 04:48:34.568000+00:00,50000000000.0,0.0,50000000000.0,0.0,1.0,Micro,Bullish,Medium Risk,61,49.09,40.86,54.02,BUY,2.0
SORA GROK,GROK,1.1254124860907646,0.0,145390.77728316,0.0,-35.18742415,279.79270076,155.73776757,3472.03814248,16934.42780625,72118.14459438,crypto,Ethereum,Small,STRONG_BUY,100,910.23,910.23,1.19,-92.82121251747617,1.19,129.55,0.77,100.0,70,100.0,100,6.02,100.0,27.46,860.75,25.0,8.88,15.0,0.6,2024-10-16 05:43:19+00:00,2026-02-11 04:48:34.568000+00:00,100000000000.0,0.0,100000000000.0,0.0,1.0,Medium,Neutral,Low Risk,482,30.77,41.86,49.14,HOLD,3.87
PENGU AI,PENGU,6.7052991611039045e-06,0.0,133096.33319713,1.4627,866.3938163,0.66699559,-99.86615758,480.33001534,-99.99299813,-97.7115713,meme,Base,Small,BUY,100,880.13,880.13,0.28,-4.977993406380952,0.28,433.75,0.23,100.0,70,100.0,100,6.02,100.0,0.0,830.7,25.0,8.82,15.0,0.6,2025-08-19 13:29:55+00:00,2026-02-11 04:48:34.568000+00:00,10000000000.0,0.0,10000000000.0,0.0,1.0,Micro,Bearish,Low Risk,175,14.64,47.76,44.14,HOLD,-4.77
Tesla (buytesla.net),TSLA,77.47614231293596,0.0,264712.13430656,-8.8429,-34.7927878,221.62012111,177.67853272,419.33282567,150.9877683,-56.58387409,meme,Base,Small,STRONG_BUY,100,876.94,876.94,1.33,-1.777773328333331,1.33,111.96,0.89,100.0,70,100.0,100,6.02,100.0,49.59,827.45,25.0,8.89,15.0,0.6,2025-07-21 09:30:51+00:00,2026-02-11 04:48:34.568000+00:00,100000.0,0.0,100000.0,0.0,1.0,Medium,Bullish,Low Risk,204,49.08,41.55,53.67,BUY,12.7
apM Coin,APM,0.0006606489175611126,1197426.1630795165,0.0,0.0,0.0,44.92108255,273.29159359,-37.34334129,-35.72269522,-67.30377565,crypto,Ethereum,Small,BUY,100,851.08,851.08,1.25,-22.269860890666664,1.25,119.66,0.83,0.0,70,0.0,100,6.02,0.0,100.0,837.6,10.0,2.88,0.0,0.6,2019-12-27 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,0.0,1812500000.0,1812500000.0,0.0,1.0,Micro,Bullish,Low Risk,2238,60.69,16.68,40.22,HOLD,19.02
Changex,CHANGE,0.0007685228403038924,0.0,11167.50521712,57.9443,-0.12875151,148.00897175,138.93880522,-44.25482112,-44.3589496,-44.70383578,crypto,Ethereum,Small,STRONG_BUY,100,833.07,833.07,1.68,7.402192287047618,1.68,67.8,1.45,100.0,70,100.0,100,6.02,100.0,58.52,783.53,25.0,8.95,15.0,0.6,2022-07-21 10:13:49+00:00,2026-02-11 04:48:34.568000+00:00,425000000.0,0.0,399834838.425489,0.0,1.0,Micro,Bullish,Medium Risk,1300,59.09,40.86,56.14,BUY,34.4
CryptoBlades Kingdoms,KING,6.79054460120215e-05,0.0,31050.47781838,284.8233,0.00931507,144.44783418,136.76154235,2.29174083,11.40738984,67.35160573,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,818.97,818.97,1.68,5.5803684073333315,1.68,66.35,1.48,100.0,70,100.0,100,6.02,100.0,59.11,769.42,25.0,8.95,15.0,0.6,2021-10-02 19:13:10+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,0.0,1000000000.0,0.0,1.0,Micro,Bullish,Medium Risk,1592,59.09,40.84,56.1,BUY,34.86
Port3 Network,PORT3,0.0016967734926612232,1175677.4615151647,2816903.7765466,54.9436,-2.0411052,13.07358693,197.92011157,-15.52208173,-37.43622341,-95.67836547,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,749.74,749.74,1.13,-19.29190660047619,1.13,90.91,1.09,100.0,70,99.99,100,6.02,100.0,99.61,700.23,25.0,8.91,15.0,0.6,2024-01-15 01:19:42+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,692890044.9,1000000000.0,69.29,0.0,Low,Neutral,Medium Risk,758,58.67,41.2,55.74,BUY,10.59
Edu3Labs,NFE,0.0012587228221854821,131379.249464265,10236.3965378,17.0051,0.00436686,55.89889109,169.05835056,35.48710225,32.12311526,-20.05131057,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,747.26,747.26,1.44,-11.71326212347619,1.44,70.32,1.4,100.0,70,99.82,100,6.02,100.0,98.49,697.75,24.97,8.94,15.0,0.6,2024-03-15 15:10:59+00:00,2026-02-11 04:48:34.568000+00:00,900000000.0,104375043.61457054,899599999.28,11.6,0.01,Low,Bullish,Medium Risk,697,64.77,40.9,57.3,BUY,37.24
Goku Super Saiyan,GOKU,0.0008598687394434549,0.0,582196.07044385,934.88,-1.99642527,138.5143995,111.28280408,28.39235431,46.44061244,-8.82638105,meme,Solana,Small,STRONG_BUY,100,719.34,719.34,1.59,6.653242909476189,1.59,60.84,1.62,100.0,70,100.0,100,6.02,100.0,47.59,669.78,25.0,8.96,15.0,0.6,2025-02-11 06:58:39+00:00,2026-02-11 04:48:34.568000+00:00,0.0,0.0,999995926.0,99999592600.0,0.0,Micro,Bullish,Medium Risk,364,54.09,40.78,54.56,BUY,24.66
Nelore Coin,NLC,0.000717065378896269,0.0,92821.98207409,-1.2723,-0.58891424,44.5747908,196.68139532,195.14846669,36.71373231,-24.66828902,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,679.85,679.85,1.32,-21.678417310428575,1.32,84.39,1.17,100.0,70,100.0,100,6.02,100.0,99.79,630.33,25.0,8.92,15.0,0.6,2022-06-30 09:28:43+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,0.0,1000000000.0,0.0,1.0,Micro,Bullish,Medium Risk,1321,61.97,41.1,56.37,BUY,26.54
Base AI,BASE,0.00011473199695114137,0.0,237304.17791136,-29.3433,-24.59982548,243.34929003,73.48018617,-72.99296792,260.23443938,144.53239893,crypto,Base,Small,STRONG_BUY,100,637.81,637.81,0.95,29.149453306809523,0.95,110.69,0.9,100.0,70,100.0,100,6.02,100.0,0.27,588.32,25.0,8.89,15.0,0.6,2025-09-02 12:34:02+00:00,2026-02-11 04:48:34.568000+00:00,21000000000.0,0.0,21000000000.0,0.0,1.0,Micro,Neutral,Low Risk,161,30.41,41.53,48.29,HOLD,-0.01
3space Art,PACE,0.008686636578353482,626927.6931265248,9118.21956345,-5.3592,-0.31674808,25.80499513,191.39876421,49.27210743,216.29070776,19.38846227,crypto,Ethereum,Small,STRONG_BUY,100,634.08,634.08,1.22,-18.918697499714284,1.22,84.89,1.16,100.0,70,99.06,100,6.02,100.0,99.95,584.71,24.86,8.92,15.0,0.6,2022-03-07 02:50:16+00:00,2026-02-11 04:48:34.568000+00:00,100000000.0,72171511.66295902,100000000.0,72.17,0.01,Low,Bullish,Medium Risk,1437,60.46,41.1,55.85,BUY,18.26
Bitcoin Plus,XBC,1.601002831431858,453212.45097445446,503.01704774,1348.6321,-1.48655726,85.65673916,116.59880388,43.82077915,28.62549024,-7.73772335,crypto,Native,Small,STRONG_BUY,100,614.42,614.42,1.67,-1.994360802333334,1.67,50.0,1.96,11.1,70,87.66,100,16.46,11.1,80.47,584.3,23.15,3.66,1.66,1.65,2014-05-04 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,1000000.0,283080.35568502,283080.35568502,28.31,5.66,Medium,Bullish,Medium Risk,4301,64.56,18.46,42.43,HOLD,48.52
WAR,WAR,0.04053364628016451,40533646.28016451,11481088.45932032,0.8793,2.00783074,18.78454999,145.37917189,61621.11297679,61621.11297679,61621.11297679,meme,Solana,Small,STRONG_BUY,100,595.79,595.79,1.23,-2067.2760728157145,1.23,64.0,1.54,100.0,70,99.95,100,6.02,100.0,99.88,546.24,24.99,8.95,15.0,0.6,2026-01-23 14:41:30+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,1000000000.0,1000000000.0,100.0,0.04,Low,Bullish,Medium Risk,18,-144.22,40.82,4.61,SELL,20.03
CyberFi Token,CFi,0.08201935137746243,196846.44330590984,0.0,0.0,0.0,0.0,205.93905488,-38.2669155,-39.91935234,-46.80290172,crypto,Ethereum,Small,BUY,100,594.15,594.15,1.06,-21.279665970190475,1.06,97.08,1.02,0.0,70,0.0,100,6.02,0.0,98.78,580.64,10.0,2.9,0.0,0.6,2020-11-17 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,0.0,2400000.0,2400000.0,0.0,1.0,Low,Neutral,Medium Risk,1912,56.94,16.3,38.57,HOLD,4.78
Brainedge,LEARN,0.009603912166708372,0.0,17543.08959675,39.4782,-1.31589785,-4.85911236,163.46444352,7.57782824,-20.10724858,-25.83052761,crypto,Ethereum,Small,STRONG_BUY,100,589.83,589.83,1.02,-18.850001759238097,1.02,78.53,1.26,100.0,70,100.0,100,6.02,100.0,98.48,540.3,25.0,8.93,15.0,0.6,2025-05-09 04:48:55+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,0.0,1000000000.0,0.0,1.0,Low,Neutral,Medium Risk,278,56.36,41.01,54.71,BUY,1.66
50501movement,50501,0.0001828690230664638,0.0,388646.61887145,-10.349,-13.36341584,215.24986174,67.62982171,-44.78636903,119.54325488,375.72352859,crypto,Base,Small,STRONG_BUY,100,589.81,589.81,1.01,24.835783505142853,1.01,94.64,1.05,100.0,70,100.0,100,6.02,100.0,0.0,540.31,25.0,8.9,15.0,0.6,2025-06-27 07:10:38+00:00,2026-02-11 04:48:34.568000+00:00,50501000000.0,0.0,50501000000.0,0.0,1.0,Micro,Neutral,Medium Risk,228,31.0,41.26,48.33,HOLD,0.41
D,D,1.759005254405119e-05,0.0,255292.68974448,-7.4199,25.32672229,335.59272263,-23.33849981,-58.63994713,514.50730261,1.8022601,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,576.45,576.45,0.59,52.45260383066667,0.59,158.98,0.63,100.0,70,100.0,100,6.02,100.0,0.0,526.98,25.0,8.86,15.0,0.6,2025-05-29 07:57:20+00:00,2026-02-11 04:48:34.568000+00:00,69000000000.0,0.0,69000000000.0,0.0,1.0,Micro,Bearish,Low Risk,257,26.06,42.4,46.88,HOLD,-13.98
Huobi Token,HT,0.22967953661880128,0.0,142923.76423833,852.9641,-2.28289083,26.61130306,126.78670424,9.77557831,32.51738837,-17.39367616,crypto,Ethereum,Small,STRONG_BUY,100,544.09,544.09,1.28,-10.410400732809524,1.28,55.31,1.78,100.0,70,100.0,100,6.02,100.0,99.83,494.51,25.0,8.98,15.0,0.6,2018-02-03 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,500000000.0,0.0,203980445.0,0.0,1.0,Low,Bullish,Medium Risk,2930,62.37,40.73,56.12,BUY,24.86
pippin,PIPPIN,0.4025515926700921,402550084.3092744,62455877.57522652,34.8074,2.35167064,28.17586044,123.27373943,7.65657907,23.98339841,1094.33568483,meme,Solana,Small,STRONG_BUY,100,543.44,543.44,1.36,-9.731505938952381,1.36,52.0,1.89,100.0,70,99.91,100,6.02,100.0,99.88,493.86,24.99,8.99,15.0,0.6,2025-01-06 15:45:53+00:00,2026-02-11 04:48:34.568000+00:00,0.0,999996253.0,999996253.0,0.0,1.0,Low,Bullish,Medium Risk,400,63.92,40.7,56.51,BUY,32.22
Cherry AI,AIBOT,0.0015628638751766944,346174.34835163783,516825.71550983,-4.1145,-0.82428992,113.28529837,100.12602981,-53.35976696,40.98187954,-21.52052927,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,534.23,534.23,1.65,6.9960887342380955,1.65,50.97,1.92,100.0,70,99.99,100,6.02,100.0,54.32,484.63,25.0,8.99,15.0,0.6,2025-08-11 06:18:57+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,221500000.0,1000000000.0,22.15,0.01,Low,Bullish,Medium Risk,183,57.24,40.69,54.81,BUY,31.71
DEXGame,DXGM,0.00029641698218357604,187619.97808351807,9365.11246528,-1.9569,1.67030647,10.81000909,160.47685564,58.84633751,0.70774928,-8.83201927,crypto,Ethereum,Small,STRONG_BUY,100,527.8,527.8,1.15,-17.993294140904762,1.15,72.8,1.35,100.0,70,99.73,100,6.02,100.0,99.45,478.3,24.96,8.94,15.0,0.6,2021-12-04 04:08:09+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,632959612.17,1000000000.0,63.3,0.0,Micro,Neutral,Medium Risk,1530,59.12,40.93,55.22,BUY,12.75
SKPANAX,SKX,0.04274728017378339,0.0,235059.75803383,6.1839,-0.67998898,37.29701376,111.12169323,-75.00815468,-80.29313857,-91.53875676,crypto,Polygon,Small,STRONG_BUY,100,518.27,518.27,1.44,-4.342054517761905,1.44,46.42,2.11,100.0,70,100.0,100,6.02,100.0,98.31,468.66,25.0,9.01,15.0,0.6,2024-08-06 17:34:14+00:00,2026-02-11 04:48:34.568000+00:00,100000000.0,0.0,100000000.0,0.0,1.0,Low,Bullish,Medium Risk,553,65.46,40.67,56.82,BUY,39.24
Veloce,VEXT,9.990252305984391e-05,21626.93838877419,0.0,0.0,0.0,0.0,176.52254895,50.071594,-54.36919325,-92.1600656,meme,Ethereum,Small,BUY,100,514.74,514.74,1.06,-21.002475161190475,1.06,83.21,1.19,0.0,70,0.0,100,6.02,0.0,98.78,501.22,10.0,2.92,0.0,0.6,2023-09-04 10:04:03+00:00,2026-02-11 04:48:34.568000+00:00,300000000.0,216480402.36,300000000.0,72.16,0.0,Micro,Neutral,Medium Risk,890,56.97,16.08,38.37,HOLD,4.94
Billards Hub,8BALL,0.08965567294678803,0.0,73398.31133701,4.75,-0.10108663,0.47377026,133.19863181,197.29180894,-99.99996424,-99.99996424,crypto,Solana,Small,STRONG_BUY,100,512.58,512.58,1.06,-21.097133744809522,1.06,62.7,1.57,100.0,70,100.0,100,6.02,100.0,98.84,463.02,25.0,8.96,15.0,0.6,2025-04-24 07:29:17+00:00,2026-02-11 04:48:34.568000+00:00,5000000000.0,0.0,5000000000.0,0.0,1.0,Low,Neutral,Medium Risk,292,56.97,40.8,54.66,BUY,5.19
DRUNK ROBOTS,METAL,6.5409298309289e-05,47048.895192011914,0.0,-100.0,-0.01650317,-18.99494257,185.83443259,-36.8972765,-42.78727555,-47.32136457,crypto,Polygon,Small,BUY,100,495.8,495.8,0.94,-21.83694900557143,0.94,92.41,1.07,0.0,70,0.0,100,6.02,0.0,97.13,482.29,10.0,2.91,0.0,0.6,2022-01-24 07:24:22+00:00,2026-02-11 04:48:34.568000+00:00,0.0,719299800.0,2750000000.0,282.32,0.0,Micro,Neutral,Medium Risk,1478,54.19,16.22,37.6,HOLD,-4.75
Formula 1,CHAMPAGNE,0.00048067882372148496,0.0,178276.275414,15.8032,0.10540835,-36.71428614,152.62734488,2935.60025745,76.56033733,111.40337599,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,490.23,490.23,0.8,-119.81456818376189,0.8,81.97,1.21,100.0,70,100.0,100,6.02,100.0,94.26,440.71,25.0,8.92,15.0,0.6,2025-07-15 04:23:46+00:00,2026-02-11 04:48:34.568000+00:00,5000000000.0,0.0,5000000000.0,0.0,1.0,Micro,Neutral,Medium Risk,211,40.96,41.06,50.55,BUY,-15.76
RZTO,RZTO,0.000230857460837512,0.0,89989.24455321,185.6631,-8.62304203,15.63058185,113.64711988,-61.02313505,-87.55124664,-89.967408,crypto,Solana,Small,STRONG_BUY,100,465.5,465.5,1.13,-8.180020744714287,1.13,52.86,1.86,100.0,70,100.0,100,6.02,100.0,99.95,415.91,25.0,8.99,15.0,0.6,2025-10-21 07:05:07+00:00,2026-02-11 04:48:34.568000+00:00,10000000000.0,0.0,10000000000.0,0.0,1.0,Micro,Neutral,Medium Risk,112,59.88,40.71,55.26,BUY,11.62
Power Protocol,POWER,0.3734633569353232,78427304.95641787,62579118.36514516,199.2757,1.14828529,36.46587503,92.30501719,154.13162973,68.52421697,361.25455816,crypto,Ethereum,Small,STRONG_BUY,100,458.48,458.48,1.53,-10.037907393238095,1.53,37.53,2.6,100.0,70,99.98,100,8.88,100.0,97.18,408.54,25.0,9.06,15.0,0.89,2025-12-02 09:59:07+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,210000000.0,1000000000.0,21.0,1.78,Low,Bullish,Medium Risk,70,66.2,40.66,56.83,BUY,47.64
ShibaBitcoin,SBBTC,99.93912073307006,11651258.552940669,70795.78153883,758.3083,0.0008143,122.2539018,42.37391712,47.82000837,58.34001087,63.5451355,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,455.89,455.89,1.14,11.229890007857142,1.14,50.69,1.93,60.76,70,97.75,100,80.0,60.76,0.0,407.48,24.66,6.64,9.11,8.0,2024-04-26 11:08:10+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,116583.56074655,1000000000.0,0.01,9993.91,Medium,Neutral,Medium Risk,655,32.02,30.88,41.89,HOLD,6.29
Singularry,SINGULARRY,0.020941867290777978,0.0,28868.66797335,86.8964,1.75337601,38.66335579,87.92023078,126.65002969,155.80070977,89.57789228,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,449.57,449.57,1.58,-8.327689724142857,1.58,35.3,2.75,100.0,70,100.0,100,6.02,100.0,95.97,399.89,25.0,9.08,15.0,0.6,2026-01-22 02:02:51+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,0.0,1000000000.0,0.0,1.0,Low,Bullish,Medium Risk,20,66.92,40.67,56.98,BUY,51.73
Collect on Fanable,COLLECT,0.07129990309255961,38288047.96070451,12890546.18561365,-6.9422,-0.45293423,12.49425823,129.72734902,-10.09757516,154.79622834,154.79622834,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,445.2,445.2,1.17,-12.086753592571426,1.17,58.55,1.68,100.0,70,99.96,100,6.02,100.0,99.78,395.64,24.99,8.97,15.0,0.6,2025-12-24 12:05:04+00:00,2026-02-11 04:48:34.568000+00:00,3000000000.0,537000000.0,3000000000.0,17.9,0.4,Low,Neutral,Medium Risk,48,60.17,40.76,55.26,BUY,14.98
CRT AI Network,CRTAI,8.414666019113893e-05,29695.435647606828,11517.33719644,88.987,-0.12010122,67.41535261,69.18982366,23.19494656,9.84284678,5.45830105,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,443.71,443.71,1.7,1.2796667057142852,1.7,32.26,3.01,100.0,70,99.96,100,6.02,100.0,64.59,394.01,24.99,9.1,15.0,0.6,2025-01-02 06:11:32+00:00,2026-02-11 04:48:34.568000+00:00,0.0,352900942.0,560000000.0,58.68,0.0,Micro,Bullish,High Risk,404,60.67,40.7,55.39,BUY,42.3
Reploy,RAI,0.06819530171769898,681953.0171769898,752253.85170295,1.7366,14.31404199,27.30963032,84.47411745,-22.35476529,-46.60356671,-61.46704333,crypto,Ethereum,Small,STRONG_BUY,100,434.32,434.32,1.75,-4.605392546285714,1.75,30.48,3.18,100.0,70,99.99,100,6.02,100.0,99.98,384.6,25.0,9.12,15.0,0.6,2024-12-12 22:38:20+00:00,2026-02-11 04:48:34.568000+00:00,10000000.0,10000000.0,10000000.0,100.0,0.07,Low,Bullish,High Risk,425,71.61,40.72,58.1,BUY,70.41
Rifampicin,RIF,0.026216359045384094,26196600.8938846,891661.96463257,62.7311,1.59404679,20.54466909,93.95523527,685.14940224,1100.07705711,187.1174464,crypto,Solana,Small,STRONG_BUY,100,430.41,430.41,1.34,-30.193695972333334,1.34,39.83,2.45,100.0,70,99.6,100,6.02,100.0,99.92,380.82,24.94,9.04,15.0,0.6,2024-11-20 04:16:52+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,999246342.657068,999246342.657068,99.92,0.03,Low,Bullish,Medium Risk,448,61.52,40.65,55.57,BUY,31.27
PredicTools,PREDIC,6.796310347919701e-05,0.0,14765.77411663,-24.1757,2.81407663,10.05535608,123.73658992,2171.64363237,2171.64363237,2171.64363237,crypto,Solana,Small,STRONG_BUY,100,429.06,429.06,1.18,-84.50374434452381,1.18,55.38,1.77,100.0,70,100.0,100,6.02,100.0,99.47,379.48,25.0,8.98,15.0,0.6,2026-01-16 02:24:01+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,0.0,1000000000.0,0.0,1.0,Micro,Neutral,Medium Risk,26,53.02,40.73,53.43,BUY,15.92
TRI SIGMA,TRISIG,4.0979739028074795e-05,0.0,74710.68976506,0.3489,46.44211157,64.04219177,36.79079908,-92.13843681,-93.72497271,-86.30537801,meme,Solana,Small,STRONG_BUY,100,421.5,421.5,4.16,8.190697294904762,4.16,11.28,8.14,100.0,70,100.0,100,6.02,100.0,0.0,371.28,25.0,9.61,15.0,0.6,2024-12-30 09:50:13+00:00,2026-02-11 04:48:34.568000+00:00,0.0,0.0,999885419.0,99988541900.0,0.0,Micro,Strong Bullish,High Risk,407,60.82,42.07,55.16,BUY,154.44
