coin_name,symbol,price_usd,market_cap,volume_24h,volume_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,pct_change_30d,pct_change_60d,pct_change_90d,coin_type,platform,category,primary_signal,signal_strength,overall_score,composite_score,change_momentum,momentum_acceleration,risk_adjusted_momentum,price_volatility,volatility_risk,liquidity_risk,concentration_risk,nvt_score,mvrv_score,scarcity_score,efficiency_score,momentum_consistency,inv_momentum_score,inv_value_score,inv_risk_score,inv_activity_score,inv_network_score,date_added,last_updated,max_supply,circulating_supply,total_supply,annual_inflation,stock_to_flow,price_tier,momentum_category,risk_level,days_since_added,momentum_score,risk_score,investment_score,predicted_signal,potential_return
Ani Grok Companion (anicompanion.org),ANI,5.187761935550765e-05,0.0,341788.36227674,56.7554,-8.05328736,252.16127891,255.75382642,-87.82936918,-68.29604384,-93.09371634,meme,Base,Small,STRONG_BUY,100,1413.36,1413.36,1.63,10.939552113809523,1.63,123.52,0.8,100.0,70,100.0,100,6.02,100.0,63.78,1363.88,25.0,8.88,15.0,0.6,2025-07-30 06:50:13+00:00,2026-02-11 04:48:34.568000+00:00,21000000000.0,0.0,21000000000.0,0.0,1.0,Micro,Bullish,Low Risk,195,60.11,41.75,58.01,BUY,30.25
Don't Buy Inu,DBI,0.00013888060635656942,0.0,9522.14444842,0.0,-1.19470287,200.45465113,236.95028389,122.35410346,70.2509731,54.81107631,meme,Ethereum,Small,STRONG_BUY,100,1045.08,1045.08,1.7,-1.3937891418571433,1.7,104.73,0.95,100.0,70,100.0,100,6.02,100.0,73.29,995.58,25.0,8.89,15.0,0.6,2022-11-02 05:04:29+00:00,2026-02-11 04:48:34.568000+00:00,2000000000.0,0.0,1448126999.8,0.0,1.0,Micro,Bullish,Low Risk,1196,63.01,41.43,57.67,BUY,40.56
Wolfies,PACK,0.00019334134373801565,0.0,61477.43266731,-22.7441,-1.03551034,-2.13352157,909.24145927,16.55142945,-31.11123767,-51.0649446,crypto,Cronos,Small,STRONG_BUY,100,2512.48,2512.48,1.06,-100.44009150695236,1.06,429.37,0.23,100.0,70,100.0,100,6.02,100.0,98.77,2463.06,25.0,8.82,15.0,0.6,2025-05-26 06:39:39+00:00,2026-02-11 04:48:34.568000+00:00,10000000000.0,0.0,10000000000.0,0.0,1.0,Micro,Neutral,Low Risk,260,49.02,47.67,57.64,BUY,0.84
Franklin,FRANKLIN,1.00453856324041e-10,0.0,56918.85912436,-0.7462,-17.70732025,100.95356836,721.54398895,1091.11146665,105805.51200323,163375.16855285,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,2166.58,2166.58,1.2,-100.97469029333334,1.2,324.16,0.31,100.0,70,100.0,100,6.02,100.0,100.0,2117.14,25.0,8.83,15.0,0.6,2025-12-09 20:50:02+00:00,2026-02-11 04:48:34.568000+00:00,4.2e+17,0.0,4.2e+17,0.0,1.0,Micro,Bullish,Low Risk,63,51.9,45.59,57.64,BUY,7.03
Edu3Labs,NFE,0.0012587228221854821,131379.249464265,10236.3965378,17.0051,0.00436686,55.89889109,169.05835056,35.48710225,32.12311526,-20.05131057,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,747.26,747.26,1.44,-11.71326212347619,1.44,70.32,1.4,100.0,70,99.82,100,6.02,100.0,98.49,697.75,24.97,8.94,15.0,0.6,2024-03-15 15:10:59+00:00,2026-02-11 04:48:34.568000+00:00,900000000.0,104375043.61457054,899599999.28,11.6,0.01,Low,Bullish,Medium Risk,697,64.77,40.9,57.3,BUY,37.24
Crypto-Altcoins.com,ALTS,2.1086994021529206e-05,28050.774166566825,2612.19384442,0.0,-6.87272531,74.95390775,421.15446264,124.82435934,217.95917358,-46.15235619,crypto,Solana,Small,STRONG_BUY,100,1326.53,1326.53,1.25,-39.57955201714286,1.25,185.52,0.54,100.0,70,99.85,100,6.02,100.0,99.97,1277.1,24.98,8.85,15.0,0.6,2019-12-10 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,1534000000.0,1330240533.0,1534000000.0,86.72,0.0,Micro,Bullish,Low Risk,2255,58.95,42.9,57.28,BUY,15.72
ClubCoin,CLUB,0.005996199063501587,0.0,52355.67062266,0.0,-0.00147901,234.21821028,234.21821028,20.48187442,20.48187442,20.48187442,crypto,Native,Small,STRONG_BUY,100,1093.68,1093.68,1.7,7.124544528666666,1.7,110.41,0.9,100.0,70,100.0,100,6.02,100.0,62.86,1044.19,25.0,8.89,15.0,0.6,2015-12-21 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,160000000.0,0.0,103748265.908557,0.0,1.0,Low,Bullish,Low Risk,3705,60.73,41.52,57.24,BUY,34.29
Singularry,SINGULARRY,0.020941867290777978,0.0,28868.66797335,86.8964,1.75337601,38.66335579,87.92023078,126.65002969,155.80070977,89.57789228,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,449.57,449.57,1.58,-8.327689724142857,1.58,35.3,2.75,100.0,70,100.0,100,6.02,100.0,95.97,399.89,25.0,9.08,15.0,0.6,2026-01-22 02:02:51+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,0.0,1000000000.0,0.0,1.0,Low,Bullish,Medium Risk,20,66.92,40.67,56.98,BUY,51.73
Power Protocol,POWER,0.3734633569353232,78427304.95641787,62579118.36514516,199.2757,1.14828529,36.46587503,92.30501719,154.13162973,68.52421697,361.25455816,crypto,Ethereum,Small,STRONG_BUY,100,458.48,458.48,1.53,-10.037907393238095,1.53,37.53,2.6,100.0,70,99.98,100,8.88,100.0,97.18,408.54,25.0,9.06,15.0,0.89,2025-12-02 09:59:07+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,210000000.0,1000000000.0,21.0,1.78,Low,Bullish,Medium Risk,70,66.2,40.66,56.83,BUY,47.64
SKPANAX,SKX,0.04274728017378339,0.0,235059.75803383,6.1839,-0.67998898,37.29701376,111.12169323,-75.00815468,-80.29313857,-91.53875676,crypto,Polygon,Small,STRONG_BUY,100,518.27,518.27,1.44,-4.342054517761905,1.44,46.42,2.11,100.0,70,100.0,100,6.02,100.0,98.31,468.66,25.0,9.01,15.0,0.6,2024-08-06 17:34:14+00:00,2026-02-11 04:48:34.568000+00:00,100000000.0,0.0,100000000.0,0.0,1.0,Low,Bullish,Medium Risk,553,65.46,40.67,56.82,BUY,39.24
