,price_usd,market_cap,volume_24h,volume_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,pct_change_30d,pct_change_60d,pct_change_90d,signal_strength,overall_score,composite_score,change_momentum,momentum_acceleration,risk_adjusted_momentum,price_volatility,volatility_risk,liquidity_risk,concentration_risk,nvt_score,mvrv_score,scarcity_score,efficiency_score,momentum_consistency,inv_momentum_score,inv_value_score,inv_risk_score,inv_activity_score,inv_network_score,max_supply,circulating_supply,total_supply,annual_inflation,stock_to_flow,days_since_added,momentum_score,risk_score,investment_score,potential_return
count,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
mean,3997.176646672555,7829536.372468714,2144891.853970631,1226.041247311828,48.42881393322582,444.6286278711828,8552.526853298494,17169721.486487336,23603841.457392666,46437460.572582625,100.0,27465.43043010752,27465.43043010752,1.320215053763441,-573197.2364961954,1.320215053763441,4080.682688172044,1.1775268817204299,81.09182795698925,70.0,89.11817204301074,100.0,7.4607526881720405,81.09182795698925,69.69032258064517,27421.369677419352,23.36774193548387,7.783225806451613,12.163655913978495,0.7441935483870963,1.3560617306757968e+16,4545677031388.323,1.3560618146978326e+16,109692989465.88612,109.79505376344086,853.9032258064516,-57265.092580645156,40.416989247311825,-14273.523870967736,17.892473118279568
std,30444.226357256808,42715769.99350469,9554945.667891178,11222.431781868403,340.3698549251108,987.9882904013825,33389.18261053888,158073723.64290357,218490016.07570323,342674895.09696895,0.0,104504.75117283009,104504.75117283009,0.5218382609971084,5269671.464208473,0.5218382609971084,15662.146660702436,1.34822319136189,36.78768472884928,0.0,29.537221983318247,0.0,8.656437192175837,36.78768472884928,37.79157294641725,104507.10719968371,4.430598676062977,2.2419775632484367,5.518300932775028,0.8658915016135798,7.464979482089293e+16,43621674234360.78,7.464979466660299e+16,1036827164897.9044,1036.192589022347,1043.0236675012422,526966.5628157178,9.282083816001363,131739.07004458192,30.536645969688188
min,1.00453856324041e-10,0.0,0.0,-100.0,-35.18742415,-42.13962907,-99.86615758,-92.13843681,-99.99996424,-99.99996424,100.0,389.29,389.29,0.28,-50814820.5889182,0.28,11.28,0.0,0.0,70.0,0.0,100.0,6.02,0.0,0.0,340.07,10.0,2.8,0.0,0.6,0.0,0.0,92122.50184922,0.0,0.0,18.0,-5081422.15,16.08,-1270289.39,-22.94
25%,0.000159920932792487,0.0,11167.50521712,-8.8429,-1.23377117,15.63058185,97.36830411,-28.49941777,-37.43622341,-56.58387409,100.0,514.74,514.74,1.06,-71.8761735800476,1.06,62.7,0.31,100.0,70.0,98.99,100.0,6.02,100.0,44.16,478.3,24.85,8.8,15.0,0.6,105000000.0,0.0,899599999.28,0.0,0.02,211.0,32.32,40.66,45.98,0.99
50%,0.0016986167852632388,0.0,89989.24455321,0.7271,0.0,74.95390775,177.67853272,58.84633751,40.98187954,1.8022601,100.0,910.23,910.23,1.23,-10.410400732809524,1.23,111.54,0.89,100.0,70.0,100.0,100.0,6.02,100.0,96.01,860.75,25.0,8.86,15.0,0.6,1000000000.0,0.0,1000000000.0,0.0,1.0,407.0,54.65,41.01,54.56,9.65
75%,0.048494918534569983,993025.7391625367,256528.54102973,25.5975,2.81407663,312.68084531,555.8745855,685.14940224,554.88843177,516.37880542,100.0,2166.58,2166.58,1.58,7.402192287047618,1.58,324.33,1.57,100.0,70.0,100.0,100.0,6.02,100.0,99.1,2117.14,25.0,8.95,15.0,0.6,20000000000.0,324019389.4452062,21000000000.0,60.46,1.0,1029.0,61.46,42.9,56.51,31.27
max,285832.6600706098,402550084.3092744,62579118.36514516,108267.5774,3175.02716165,6128.04076714,203866.28276242,1524264655.4235315,2106487049.6032052,3101358900.963902,100.0,672822.24,672822.24,4.16,845.8653073831429,4.16,96103.6,8.14,100.0,70.0,100.0,100.0,80.0,100.0,100.0,672772.92,25.0,9.61,15.0,8.0,4.2069e+17,420690000000000.0,4.2069e+17,10000000000000.0,9993.91,4625.0,107.42,59.03,76.75,204.64
